chunk,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,BLEURT,COMET,text,TQS,APT
5,claude,0.3218966657030664,0.5369642402565469,0.4308962827549609,0.5331010452961672,0.9105636477470398,0.4632116556167602,0.7735110521316528,Mixtures,97.05,8.0
5,gemini,0.322493989522374,0.5501780384333264,0.4540048263656178,0.540447504302926,0.9112371802330016,0.4750207066535949,0.7760372161865234,Mixtures,97.12,8.0
5,openai,0.2459096611323704,0.4968145842425597,0.3654438502793152,0.4795737122557726,0.9005216360092163,0.4605593085289001,0.7652939558029175,Mixtures,89.58,27.0
6,claude,0.4278822662338089,0.6243511200058942,0.4886012799372541,0.6744639376218323,0.9326525330543518,0.5444908142089844,0.7973541021347046,Mixtures,97.97,5.0
6,gemini,0.4281693964039956,0.6318697530082567,0.5497407283548726,0.6703910614525139,0.9324352145195008,0.5819234848022461,0.8080106377601624,Mixtures,90.11,27.0
6,openai,0.4216480839173877,0.6182622761249436,0.5474211725145438,0.6209523809523808,0.9308294057846068,0.5746767520904541,0.8085702061653137,Mixtures,87.6,32.0
7,claude,0.3362665561490405,0.5553999706143813,0.4819476491784756,0.5739130434782608,0.92062509059906,0.5293871164321899,0.8161591291427612,Mixtures,97.1,8.0
7,gemini,0.3875040223861131,0.5961908899950531,0.5491401419478578,0.5844155844155844,0.916749894618988,0.4815990328788757,0.8138812780380249,Mixtures,97.48,8.0
7,openai,0.323026094911044,0.5210608260199902,0.5088944837873557,0.5189003436426116,0.9100964665412904,0.5150139331817627,0.8054796457290649,Mixtures,97.86,6.0
8,claude,0.3319597873543105,0.5711268970003656,0.4741102140052019,0.5745454545454546,0.91416335105896,0.4880779981613159,0.7803630828857422,Mixtures,94.81,14.0
8,gemini,0.3450902300412744,0.5592553252379795,0.4470516353256441,0.5652173913043478,0.9118974208831788,0.5230875611305237,0.7945135831832886,Mixtures,98.9,3.0
8,openai,0.2759542062071511,0.4975401611250774,0.4095701917130488,0.5076923076923078,0.8983162045478821,0.4970898032188415,0.7836991548538208,Mixtures,97.93,5.0
9,claude,0.3306939924184242,0.5266762072872477,0.4972386278051036,0.5059422750424448,0.9124798774719238,0.4674937725067138,0.8011191487312317,Mixtures,93.29,19.0
9,gemini,0.2954734103603195,0.5497645601146739,0.4694540435752815,0.5331179321486268,0.9159966111183168,0.4796468019485473,0.8018559217453003,Mixtures,92.68,23.0
9,openai,0.3359143223304474,0.5248521218062198,0.4771686522919042,0.5134228187919464,0.9146443009376526,0.4777122735977173,0.7972441911697388,Mixtures,93.1,20.0
10,claude,0.2900415525806781,0.5389065672536573,0.4813615943105579,0.5178875638841567,0.9110112190246582,0.4804849624633789,0.7880406975746155,Mixtures,97.08,8.0
10,gemini,0.2852461880146896,0.5533996920362501,0.5074018501289201,0.5234248788368338,0.90981125831604,0.4700329303741455,0.8086382150650024,Mixtures,96.74,10.0
10,openai,0.2637390061914597,0.5247760004467125,0.4608345127552478,0.4794520547945206,0.910714626312256,0.4805401563644409,0.7829499244689941,Mixtures,88.06,32.0
