Chunk,Model,BLEU-4_ref1,BLEU-4_ref2,BLEU-4_diff,chrF++_ref1,chrF++_ref2,chrF++_diff,METEOR_ref1,METEOR_ref2,METEOR_diff,ROUGE-L_ref1,ROUGE-L_ref2,ROUGE-L_diff,BERTScore_ref1,BERTScore_ref2,BERTScore_diff,BLEURT_ref1,BLEURT_ref2,BLEURT_diff,COMET_ref1,COMET_ref2,COMET_diff
4,openai,0.1570635754020833,0.18567487855842577,-0.02861130315634247,0.5275372696558205,0.4911602407237904,0.0363770289320301,0.40212882184155413,0.41704682519981123,-0.014918003358257104,0.4431372549019608,0.47249190938511326,-0.029354654483152443,0.8910965919494629,0.8959963321685791,-0.004899740219116211,0.4945124387741089,0.4597330689430237,0.034779369831085205,0.7611966133117676,0.7881810069084167,-0.02698439359664917
5,claude,0.2609154040241668,0.1580290025455371,0.10288640147862971,0.5369642402565469,0.5076209702720955,0.02934326998445136,0.43089628275496095,0.3750502152700852,0.05584606748487575,0.5331010452961672,0.44250871080139376,0.09059233449477344,0.9105636477470398,0.8978112936019897,0.012752354145050049,0.46321165561676025,0.44847631454467773,0.01473534107208252,0.7735110521316528,0.7668949365615845,0.006616115570068359
5,gemini,0.2530396049113099,0.16512311617414085,0.08791648873716904,0.5501780384333264,0.4989156566830203,0.05126238175030606,0.4540048263656178,0.4003548480200358,0.053649978345581995,0.540447504302926,0.423407917383821,0.11703958691910499,0.9112371802330017,0.8966754674911499,0.014561712741851807,0.47502070665359497,0.44678574800491333,0.02823495864868164,0.775648832321167,0.7760372161865234,-0.0003883838653564453
5,openai,0.18864057583749644,0.1384010977813343,0.050239478056162135,0.4968145842425597,0.4708140626076137,0.026000521634945983,0.3649907101083318,0.36544385027931525,-0.00045314017098346815,0.4795737122557726,0.40142095914742454,0.07815275310834807,0.9005216360092163,0.8891115188598633,0.011410117149353027,0.4555776119232178,0.46055930852890015,-0.004981696605682373,0.7510441541671753,0.7652939558029175,-0.014249801635742188
6,claude,0.3465807463753127,0.22895549760471096,0.11762524877060176,0.6243511200058942,0.5210343331207432,0.103316786885151,0.4886012799372541,0.4184188101202566,0.0701824698169975,0.6744639376218323,0.5535055350553506,0.12095840256648172,0.9326525330543518,0.9117696285247803,0.020882904529571533,0.5444908142089844,0.4685816168785095,0.07590919733047485,0.7973541021347046,0.7885290384292603,0.008825063705444336
6,gemini,0.3610008679479742,0.22055615138777973,0.14044471656019447,0.6318697530082567,0.5283794839204562,0.10349026908780046,0.5497407283548726,0.4374886678545677,0.11225206050030495,0.6703910614525139,0.5477031802120141,0.12268788124049979,0.9324352145195007,0.9150128960609436,0.01742231845855713,0.5819234848022461,0.4838935136795044,0.0980299711227417,0.8080106377601624,0.8032551407814026,0.004755496978759766
6,openai,0.3099845853554868,0.2540293291408521,0.05595525621463471,0.6182622761249436,0.5527386138323628,0.06552366229258078,0.5474211725145438,0.4789873375168955,0.06843383499764832,0.6209523809523808,0.555956678700361,0.06499570225201978,0.9308294057846069,0.9182454347610474,0.01258397102355957,0.5746767520904541,0.4908917546272278,0.08378499746322632,0.8085702061653137,0.8077566623687744,0.0008135437965393066
7,claude,0.2373621742845108,0.2191439204944607,0.018218253790050126,0.5553999706143813,0.5344917786407802,0.020908191973601054,0.48194764917847566,0.4700477221983944,0.011899926980081243,0.5739130434782608,0.5120274914089348,0.061885552069326,0.9206250905990601,0.9141871333122253,0.006437957286834717,0.5293871164321899,0.5084059238433838,0.020981192588806152,0.7954609394073486,0.8161591291427612,-0.020698189735412598
7,gemini,0.30999274027392937,0.20880313761276872,0.10118960266116064,0.5961908899950531,0.5430522682386655,0.053138621756387616,0.5491401419478578,0.4732366117639019,0.07590353018395585,0.5844155844155844,0.4943820224719101,0.09003356194367429,0.916749894618988,0.9054949283599854,0.011254966259002686,0.48159903287887573,0.46986162662506104,0.011737406253814697,0.8109207153320312,0.8138812780380249,-0.0029605627059936523
7,openai,0.19752689792205091,0.22284802777113588,-0.025321129849084967,0.5168573286429147,0.5210608260199902,-0.004203497377075482,0.43485283449403817,0.5088944837873557,-0.07404164929331752,0.5189003436426116,0.5059422750424447,0.012958068600166905,0.9100964665412903,0.9059368968009949,0.00415956974029541,0.5150139331817627,0.5016777515411377,0.013336181640625,0.7938330173492432,0.8054796457290649,-0.011646628379821777
