chunk,model,BLEU-4,chrF++,METEOR,ROUGE-L,BERTScore,COMET,text,TQS,APT
3,claude,0.2442006325356828,0.5260989759127035,0.4753833394988038,0.499108734402852,0.9079548716545104,0.7921340465545654,Mixtures,100.0,0.0
3,gemini,0.3009342055196339,0.554967278227575,0.5241998278269341,0.5051546391752577,0.9030233025550842,0.8116991519927979,Mixtures,100.0,0.0
3,openai,0.2420875615726336,0.5200682207233167,0.4761697143213018,0.4556962025316455,0.9031089544296264,0.8070604205131531,Mixtures,97.54,7.0
4,claude,0.3190334153343629,0.5079508194217557,0.4512131457544476,0.5096153846153846,0.9023823142051696,0.7722128629684448,Mixtures,96.49,10.0
4,gemini,0.3203152034335283,0.5415504153168635,0.4628965173387395,0.5545454545454546,0.9087884426116944,0.7877300977706909,Mixtures,99.06,3.0
4,openai,0.2953408239180702,0.5275372696558205,0.4170468251998112,0.4724919093851132,0.8959963321685791,0.7881810069084167,Mixtures,96.72,9.0
5,claude,0.3218966657030664,0.5369642402565469,0.4308962827549609,0.5331010452961672,0.910563588142395,0.7735110521316528,Mixtures,97.05,8.0
5,gemini,0.322493989522374,0.5501780384333264,0.4540048263656178,0.540447504302926,0.9112371206283568,0.7760371565818787,Mixtures,97.12,8.0
5,openai,0.2459096611323704,0.4968145842425597,0.3654438502793152,0.4795737122557726,0.9005216360092163,0.7652938365936279,Mixtures,89.58,27.0
6,claude,0.4278822662338091,0.6243511200058942,0.4886012799372541,0.6744639376218323,0.9326525330543518,0.7973542213439941,Mixtures,97.97,5.0
6,gemini,0.4281693964039958,0.6318697530082567,0.5497407283548726,0.6703910614525139,0.932435154914856,0.8080106377601624,Mixtures,90.11,27.0
6,openai,0.4216480839173877,0.6182622761249436,0.5474211725145438,0.6209523809523808,0.9308294057846068,0.8085702061653137,Mixtures,87.6,32.0
7,claude,0.3362665561490406,0.5553999706143813,0.4819476491784756,0.5739130434782608,0.92062509059906,0.8161590695381165,Mixtures,97.1,8.0
7,gemini,0.3875040223861131,0.5961908899950531,0.5491401419478578,0.5844155844155844,0.9167500138282776,0.8138812184333801,Mixtures,97.48,8.0
7,openai,0.323026094911044,0.5210608260199902,0.5088944837873557,0.5189003436426116,0.9100964665412904,0.8054795861244202,Mixtures,97.86,6.0
8,claude,0.3319597873543105,0.5711268970003656,0.4741102140052019,0.5745454545454546,0.91416335105896,0.7803630232810974,Mixtures,94.81,14.0
8,gemini,0.3450902300412744,0.5592553252379795,0.4470516353256441,0.5652173913043478,0.9118974208831788,0.7945138216018677,Mixtures,98.9,3.0
8,openai,0.2759542062071511,0.4975401611250774,0.4095701917130488,0.5076923076923078,0.8983163237571716,0.7836991548538208,Mixtures,97.93,5.0
9,claude,0.330693992418424,0.5266762072872477,0.4972386278051036,0.5059422750424448,0.9124798774719238,0.8011190891265869,Mixtures,93.29,19.0
9,gemini,0.2954734103603196,0.5497645601146739,0.4694540435752815,0.5331179321486268,0.9159966111183168,0.8018559217453003,Mixtures,92.68,23.0
9,openai,0.3359143223304472,0.5248521218062198,0.4771686522919042,0.5134228187919464,0.9146443009376526,0.7972440719604492,Mixtures,93.1,20.0
10,claude,0.2900415525806781,0.5389065672536573,0.4813615943105579,0.5178875638841567,0.9110112190246582,0.7880406379699707,Mixtures,97.08,8.0
10,gemini,0.2852461880146896,0.5533996920362501,0.5074018501289201,0.5234248788368338,0.90981125831604,0.8086382150650024,Mixtures,96.74,10.0
10,openai,0.2637390061914596,0.5247760004467125,0.4608345127552478,0.4794520547945206,0.910714626312256,0.7829499244689941,Mixtures,88.06,32.0
